Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.466448	1.431677	79.870000	87.250000	0.000000	
0.001000	0.299986	1.258667	87.420000	89.200000	87.250000	
0.001000	0.246564	1.188848	89.930000	92.800000	89.200000	
0.001000	0.204456	1.053865	91.940000	93.000000	92.800000	
0.001000	0.182881	1.207122	92.730000	87.800000	93.000000	
0.001000	0.168267	1.086329	93.510000	92.850000	93.000000	
0.000500	0.113824	0.899753	95.580000	93.250000	93.000000	
0.000500	0.096611	0.681393	96.420000	96.800000	93.250000	
0.000250	0.067886	0.525718	97.530000	97.100000	96.800000	
0.000250	0.062013	0.546257	97.580000	97.300000	97.100000	
