Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	1.376348	0.913115	97.111978	97.480354	0.000000	
0.001000	1.295942	0.879653	99.809483	97.642510	97.480354	
0.001000	1.286326	0.870561	99.955487	97.754771	97.642510	
0.001000	1.283113	0.866067	99.978634	97.517775	97.754771	
0.001000	1.281815	0.869931	99.994658	97.442934	97.754771	
0.001000	1.281511	0.858125	99.998219	97.767245	97.754771	
0.000500	1.279701	0.893676	99.998219	97.517775	97.767245	
0.000500	1.279360	0.887723	100.000000	97.343146	97.767245	
0.000250	1.279008	0.914082	100.000000	97.393040	97.767245	
0.000250	1.278889	0.908745	100.000000	97.417987	97.767245	
