Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.335846	0.949792	84.835965	96.496540	0.000000	
0.001000	0.092027	0.823588	96.772478	97.826557	96.496540	
0.001000	0.072841	0.894142	97.537429	97.004758	97.826557	
0.001000	0.062051	0.766454	97.889225	97.934689	97.826557	
0.001000	0.058994	0.600844	98.003763	98.583478	97.934689	
0.001000	0.051846	0.734828	98.298290	97.858997	98.583478	
0.000500	0.039759	0.553031	98.744171	98.853806	98.583478	
0.000500	0.034843	0.593635	98.895525	97.902249	98.853806	
0.000250	0.028341	0.414883	99.075513	98.799740	98.853806	
0.000250	0.024577	0.356415	99.243230	98.864619	98.853806	
